Tipologia evento,IdSottotipo,Descrizione
,1,"Incidente"
,2,"Incidente con mezzi pesanti coinvolti"
,3,"Incidente con più veicoli coinvolti"
,4,"Code"
,5,"Code a tratti"
,6,"Coda di mezzi pesanti"
,7,"Code in uscita"
,8,"Code in allacciamento"
,9,"Code in barriera"
,10,"Traffico bloccato"
,11,"Traffico intenso"
,12,"Traffico rallentato"
,13,"Traffico rallentato con code"
,206,"Lunghe code"
,207,"Code con blocchi"
,14,"Banchi di nebbia"
,19,"Nebbia"
,20,"Nevicata prevista"
,21,"Neve"
,22,"Consigliate le catene a bordo"
,23,"Mezzi spargisale in azione"
,24,"Obbligo catene a bordo"
,25,"Transito con catene o pneumatici da neve"
,31,"Formazione di ghiaccio"
,32,"Possibili tratti ghiacciati"
,33,"Pioggia gelata"
,115,"Mezzi schierati"
,116,"Nevischio"
,117,"Mezzi sgombraneve in azione"
,118,"Neve intensa"
,119,"Filtraggio dinamico"
,120,"Neve intensa - Disagi"
,121,"Neve intensa - Code"
,123,"Neve intensa - Blocchi"
,290,"Verifica situazione meteo"
,26,"Temporali"
,27,"Grandinate"
,28,"Pioggia"
,29,"Raffiche di vento"
,30,"Vento forte"
,35,"Carreggiata ridotta a due corsie"
,36,"Carreggiata ridotta a una corsia"
,39,"Corsia di emergenza chiusa"
,40,"Corsia di marcia chiusa"
,41,"Corsia di sorpasso chiusa"
,42,"Corsie a larghezza ridotta"
,43,"Deviazione con una sola corsia per senso di marcia su carreggiata a due corsie"
,44,"Senso unico alternato"
,47,"Chiusura della corsia di sorpasso con il mantenimento delle due corsie"
,48,"Chiusura della corsia di marcia su carreggiata a 2 corsie"
,49,"Deviazione di carreggiata con 2 flussi per senso di marcia (3+1) A"
,50,"Deviazione di carreggiata con 2 corsie per il traffico non deviato"
,51,"Deviazione di carreggiata con 2 corsie deviate"
,52,"Lavori ai caselli"
,53,"Cantiere mobile"
,114,"Cantiere spartitraffico centrale"
,208,"Deviazione carreggiata con 2 corsie per il traffico deviato"
,269,"Corsia di emergenza chiusa con new jersey"
,270,"Piazzola per la sosta di emergenza chiusa"
,271,"Deviazione di carreggiata con 2 flussi per senso di marcia (3+1) B"
,272,"Corsia di marcia chiusa anticipata da corsia di sorpasso chiusa"
,273,"Deviazione con una sola corsia per senso di marcia su carreggiata a due corsie con chiusura della sorpasso per il traffico deviato sulla carreggiata opposta"
,274,"Cantiere mobile - Corsia di emergenza chiusa"
,275,"Cantiere mobile - Corsia di marcia chiusa"
,276,"Cantiere mobile - Corsia di sorpasso chiusa"
,281,"Lavorazioni nello spartitraffico centrale nei tratti con spartitraffico di larghezza 12,00 m"
,282,"Cantiere mobile - Lavorazioni nello spartitraffico centrale nei tratti con spartitraffico di larghezza 12,00 m"
,283,"Parzializzazione rampe nodo/allacciamento"
,284,"Lavori in AdS"
,285,"Chiusura Ads"
,286,"Chiusura parcheggio mezzi pesanti"
,287,"Chiusura parcheggio mezzi leggeri"
,54,"AdS Chiusa/e"
,55,"Area di servizio sovraffollata"
,56,"Area di servizio, erogazione di carburante chiusa"
,57,"Area di servizio, posto di ristoro chiuso"
,58,"Disservizi ADS"
,59,"Colonnine SOS fuori servizio"
,60,"Luci di galleria spente"
,61,"Semafori non operativi"
,62,"Ventilazione gallerie guasta"
,222,"Chiuso parcheggio mezzi pesanti"
,223,"Chiuso parcheggio mezzi leggeri"
,63,"Limite di altezza temporaneo"
,64,"Limite di larghezza temporaneo"
,65,"Divieto di transito veicoli superiori 7,5 T"
,66,"Divieto di sorpasso mezzi trainanti rimorchi"
,67,"Divieto di soprasso mezzi pesanti > 3,5 T"
,68,"Divieto di sorpasso mezzi pesanti > 7,5 T"
,69,"Divieto di sorpasso mezzi pesanti > 12 T"
,197,"Uscita consigliata mezzi pesanti > 7,5 T"
,198,"Uscita obbligatoria mezzi > 3,5 T"
,199,"Uscita obbligatoria mezzi pesanti > 7,5 T"
,200,"Obbligo inversione mezzi pesanti > 7,5 T"
